,file,architecture,parameters,epoch,model,train_loss,train_acc,val_loss,val_acc
0,simple_2-8-32filters256dense_save_at_1.keras,simple,2-8-32 256 dense,1.0,"<Sequential name=sequential_8, built=True>",0.47033798694610596,0.7938756942749023,0.467105507850647,0.7949778437614441
1,simple_2-8-32filters256dense_save_at_10.keras,simple,2-8-32 256 dense,10.0,"<Sequential name=sequential_8, built=True>",0.7833302021026611,0.7429041862487793,0.7909333109855652,0.74009770154953
2,simple_2-8-32filters256dense_save_at_11.keras,simple,2-8-32 256 dense,11.0,"<Sequential name=sequential_8, built=True>",0.7299067378044128,0.7477332353591919,0.7359253168106079,0.7458243370056152
3,simple_2-8-32filters256dense_save_at_12.keras,simple,2-8-32 256 dense,12.0,"<Sequential name=sequential_8, built=True>",0.7617908120155334,0.7495796084403992,0.7692953944206238,0.7472559809684753
4,simple_2-8-32filters256dense_save_at_13.keras,simple,2-8-32 256 dense,13.0,"<Sequential name=sequential_8, built=True>",0.8028112649917603,0.76675945520401,0.812759280204773,0.7623906135559082
5,simple_2-8-32filters256dense_save_at_14.keras,simple,2-8-32 256 dense,14.0,"<Sequential name=sequential_8, built=True>",0.783211350440979,0.7642483711242676,0.7936123013496399,0.760890781879425
6,simple_2-8-32filters256dense_save_at_15.keras,simple,2-8-32 256 dense,15.0,"<Sequential name=sequential_8, built=True>",0.8704534769058228,0.7663106322288513,0.8821653723716736,0.7619816064834595
7,simple_2-8-32filters256dense_save_at_16.keras,simple,2-8-32 256 dense,16.0,"<Sequential name=sequential_8, built=True>",1.0448510646820068,0.758567214012146,1.0597642660140991,0.7552323341369629
8,simple_2-8-32filters256dense_save_at_17.keras,simple,2-8-32 256 dense,17.0,"<Sequential name=sequential_8, built=True>",1.1792832612991333,0.7481081485748291,1.1994909048080444,0.744006335735321
9,simple_2-8-32filters256dense_save_at_18.keras,simple,2-8-32 256 dense,18.0,"<Sequential name=sequential_8, built=True>",1.1142683029174805,0.7615100741386414,1.1287331581115723,0.7591864466667175
10,simple_2-8-32filters256dense_save_at_19.keras,simple,2-8-32 256 dense,19.0,"<Sequential name=sequential_8, built=True>",1.6307501792907715,0.7400863766670227,1.6559263467788696,0.7374616265296936
11,simple_2-8-32filters256dense_save_at_2.keras,simple,2-8-32 256 dense,2.0,"<Sequential name=sequential_8, built=True>",0.4250560700893402,0.8008862733840942,0.4245350658893585,0.8014771342277527
12,simple_2-8-32filters256dense_save_at_20.keras,,,,,,,,
13,simple_2-8-32filters256dense_save_at_21.keras,,,,,,,,
14,simple_2-8-32filters256dense_save_at_22.keras,,,,,,,,
15,simple_2-8-32filters256dense_save_at_23.keras,,,,,,,,
16,simple_2-8-32filters256dense_save_at_24.keras,,,,,,,,
17,simple_2-8-32filters256dense_save_at_25.keras,,,,,,,,
18,simple_2-8-32filters256dense_save_at_3.keras,,,,,,,,
19,simple_2-8-32filters256dense_save_at_4.keras,,,,,,,,
20,simple_2-8-32filters256dense_save_at_5.keras,,,,,,,,
21,simple_2-8-32filters256dense_save_at_6.keras,,,,,,,,
22,simple_2-8-32filters256dense_save_at_7.keras,,,,,,,,
23,simple_2-8-32filters256dense_save_at_8.keras,,,,,,,,
24,simple_2-8-32filters256dense_save_at_9.keras,,,,,,,,
25,simple_2-8-32filters8dense_save_at_1.keras,,,,,,,,
26,simple_2-8-32filters8dense_save_at_10.keras,,,,,,,,
27,simple_2-8-32filters8dense_save_at_11.keras,,,,,,,,
28,simple_2-8-32filters8dense_save_at_12.keras,,,,,,,,
29,simple_2-8-32filters8dense_save_at_13.keras,,,,,,,,
30,simple_2-8-32filters8dense_save_at_14.keras,,,,,,,,
31,simple_2-8-32filters8dense_save_at_15.keras,,,,,,,,
32,simple_2-8-32filters8dense_save_at_16.keras,,,,,,,,
33,simple_2-8-32filters8dense_save_at_17.keras,,,,,,,,
34,simple_2-8-32filters8dense_save_at_18.keras,,,,,,,,
35,simple_2-8-32filters8dense_save_at_19.keras,,,,,,,,
36,simple_2-8-32filters8dense_save_at_2.keras,,,,,,,,
37,simple_2-8-32filters8dense_save_at_20.keras,,,,,,,,
38,simple_2-8-32filters8dense_save_at_21.keras,,,,,,,,
39,simple_2-8-32filters8dense_save_at_22.keras,,,,,,,,
40,simple_2-8-32filters8dense_save_at_23.keras,,,,,,,,
41,simple_2-8-32filters8dense_save_at_24.keras,,,,,,,,
42,simple_2-8-32filters8dense_save_at_25.keras,,,,,,,,
43,simple_2-8-32filters8dense_save_at_3.keras,,,,,,,,
44,simple_2-8-32filters8dense_save_at_4.keras,,,,,,,,
45,simple_2-8-32filters8dense_save_at_5.keras,,,,,,,,
46,simple_2-8-32filters8dense_save_at_6.keras,,,,,,,,
47,simple_2-8-32filters8dense_save_at_7.keras,,,,,,,,
48,simple_2-8-32filters8dense_save_at_8.keras,,,,,,,,
49,simple_2-8-32filters8dense_save_at_9.keras,,,,,,,,
50,simple_2-8-32filters_320batch_save_at_1.keras,,,,,,,,
51,simple_2-8-32filters_320batch_save_at_10.keras,,,,,,,,
52,simple_2-8-32filters_320batch_save_at_11.keras,,,,,,,,
53,simple_2-8-32filters_320batch_save_at_12.keras,,,,,,,,
54,simple_2-8-32filters_320batch_save_at_13.keras,,,,,,,,
55,simple_2-8-32filters_320batch_save_at_14.keras,,,,,,,,
56,simple_2-8-32filters_320batch_save_at_15.keras,,,,,,,,
57,simple_2-8-32filters_320batch_save_at_16.keras,,,,,,,,
58,simple_2-8-32filters_320batch_save_at_17.keras,,,,,,,,
59,simple_2-8-32filters_320batch_save_at_18.keras,,,,,,,,
60,simple_2-8-32filters_320batch_save_at_19.keras,,,,,,,,
61,simple_2-8-32filters_320batch_save_at_2.keras,,,,,,,,
62,simple_2-8-32filters_320batch_save_at_20.keras,,,,,,,,
63,simple_2-8-32filters_320batch_save_at_21.keras,,,,,,,,
64,simple_2-8-32filters_320batch_save_at_22.keras,,,,,,,,
65,simple_2-8-32filters_320batch_save_at_23.keras,,,,,,,,
66,simple_2-8-32filters_320batch_save_at_24.keras,,,,,,,,
67,simple_2-8-32filters_320batch_save_at_25.keras,,,,,,,,
68,simple_2-8-32filters_320batch_save_at_3.keras,,,,,,,,
69,simple_2-8-32filters_320batch_save_at_4.keras,,,,,,,,
70,simple_2-8-32filters_320batch_save_at_5.keras,,,,,,,,
71,simple_2-8-32filters_320batch_save_at_6.keras,,,,,,,,
72,simple_2-8-32filters_320batch_save_at_7.keras,,,,,,,,
73,simple_2-8-32filters_320batch_save_at_8.keras,,,,,,,,
74,simple_2-8-32filters_320batch_save_at_9.keras,,,,,,,,
75,simple_2-8-32filters_8batch_save_at_1.keras,,,,,,,,
76,simple_2-8-32filters_8batch_save_at_10.keras,,,,,,,,
77,simple_2-8-32filters_8batch_save_at_11.keras,,,,,,,,
78,simple_2-8-32filters_8batch_save_at_12.keras,,,,,,,,
79,simple_2-8-32filters_8batch_save_at_13.keras,,,,,,,,
80,simple_2-8-32filters_8batch_save_at_14.keras,,,,,,,,
81,simple_2-8-32filters_8batch_save_at_15.keras,,,,,,,,
82,simple_2-8-32filters_8batch_save_at_16.keras,,,,,,,,
83,simple_2-8-32filters_8batch_save_at_17.keras,,,,,,,,
84,simple_2-8-32filters_8batch_save_at_18.keras,,,,,,,,
85,simple_2-8-32filters_8batch_save_at_19.keras,,,,,,,,
86,simple_2-8-32filters_8batch_save_at_2.keras,,,,,,,,
87,simple_2-8-32filters_8batch_save_at_20.keras,,,,,,,,
88,simple_2-8-32filters_8batch_save_at_21.keras,,,,,,,,
89,simple_2-8-32filters_8batch_save_at_22.keras,,,,,,,,
90,simple_2-8-32filters_8batch_save_at_23.keras,,,,,,,,
91,simple_2-8-32filters_8batch_save_at_24.keras,,,,,,,,
92,simple_2-8-32filters_8batch_save_at_25.keras,,,,,,,,
93,simple_2-8-32filters_8batch_save_at_3.keras,,,,,,,,
94,simple_2-8-32filters_8batch_save_at_4.keras,,,,,,,,
95,simple_2-8-32filters_8batch_save_at_5.keras,,,,,,,,
96,simple_2-8-32filters_8batch_save_at_6.keras,,,,,,,,
97,simple_2-8-32filters_8batch_save_at_7.keras,,,,,,,,
98,simple_2-8-32filters_8batch_save_at_8.keras,,,,,,,,
99,simple_2-8-32filters_8batch_save_at_9.keras,,,,,,,,
100,simple_2-8-32filters_save_at_1.keras,,,,,,,,
101,simple_2-8-32filters_save_at_10.keras,,,,,,,,
102,simple_2-8-32filters_save_at_11.keras,,,,,,,,
103,simple_2-8-32filters_save_at_12.keras,,,,,,,,
104,simple_2-8-32filters_save_at_13.keras,,,,,,,,
105,simple_2-8-32filters_save_at_14.keras,,,,,,,,
106,simple_2-8-32filters_save_at_15.keras,,,,,,,,
107,simple_2-8-32filters_save_at_16.keras,,,,,,,,
108,simple_2-8-32filters_save_at_17.keras,,,,,,,,
109,simple_2-8-32filters_save_at_18.keras,,,,,,,,
110,simple_2-8-32filters_save_at_19.keras,,,,,,,,
111,simple_2-8-32filters_save_at_2.keras,,,,,,,,
112,simple_2-8-32filters_save_at_20.keras,,,,,,,,
113,simple_2-8-32filters_save_at_21.keras,,,,,,,,
114,simple_2-8-32filters_save_at_22.keras,,,,,,,,
115,simple_2-8-32filters_save_at_23.keras,,,,,,,,
116,simple_2-8-32filters_save_at_24.keras,,,,,,,,
117,simple_2-8-32filters_save_at_25.keras,,,,,,,,
118,simple_2-8-32filters_save_at_3.keras,,,,,,,,
119,simple_2-8-32filters_save_at_4.keras,,,,,,,,
120,simple_2-8-32filters_save_at_5.keras,,,,,,,,
121,simple_2-8-32filters_save_at_6.keras,,,,,,,,
122,simple_2-8-32filters_save_at_7.keras,,,,,,,,
123,simple_2-8-32filters_save_at_8.keras,,,,,,,,
124,simple_2-8-32filters_save_at_9.keras,,,,,,,,
125,simple_2filters_save_at_1.keras,,,,,,,,
126,simple_2filters_save_at_10.keras,,,,,,,,
127,simple_2filters_save_at_100.keras,,,,,,,,
128,simple_2filters_save_at_11.keras,,,,,,,,
129,simple_2filters_save_at_12.keras,,,,,,,,
130,simple_2filters_save_at_13.keras,,,,,,,,
131,simple_2filters_save_at_14.keras,,,,,,,,
132,simple_2filters_save_at_15.keras,,,,,,,,
133,simple_2filters_save_at_16.keras,,,,,,,,
134,simple_2filters_save_at_17.keras,,,,,,,,
135,simple_2filters_save_at_18.keras,,,,,,,,
136,simple_2filters_save_at_19.keras,,,,,,,,
137,simple_2filters_save_at_2.keras,,,,,,,,
138,simple_2filters_save_at_20.keras,,,,,,,,
139,simple_2filters_save_at_21.keras,,,,,,,,
140,simple_2filters_save_at_22.keras,,,,,,,,
141,simple_2filters_save_at_23.keras,,,,,,,,
142,simple_2filters_save_at_24.keras,,,,,,,,
143,simple_2filters_save_at_25.keras,,,,,,,,
144,simple_2filters_save_at_26.keras,,,,,,,,
145,simple_2filters_save_at_27.keras,,,,,,,,
146,simple_2filters_save_at_28.keras,,,,,,,,
147,simple_2filters_save_at_29.keras,,,,,,,,
148,simple_2filters_save_at_3.keras,,,,,,,,
149,simple_2filters_save_at_30.keras,,,,,,,,
150,simple_2filters_save_at_31.keras,,,,,,,,
151,simple_2filters_save_at_32.keras,,,,,,,,
152,simple_2filters_save_at_33.keras,,,,,,,,
153,simple_2filters_save_at_34.keras,,,,,,,,
154,simple_2filters_save_at_35.keras,,,,,,,,
155,simple_2filters_save_at_36.keras,,,,,,,,
156,simple_2filters_save_at_37.keras,,,,,,,,
157,simple_2filters_save_at_38.keras,,,,,,,,
158,simple_2filters_save_at_39.keras,,,,,,,,
159,simple_2filters_save_at_4.keras,,,,,,,,
160,simple_2filters_save_at_40.keras,,,,,,,,
161,simple_2filters_save_at_41.keras,,,,,,,,
162,simple_2filters_save_at_42.keras,,,,,,,,
163,simple_2filters_save_at_43.keras,,,,,,,,
164,simple_2filters_save_at_44.keras,,,,,,,,
165,simple_2filters_save_at_45.keras,,,,,,,,
166,simple_2filters_save_at_46.keras,,,,,,,,
167,simple_2filters_save_at_47.keras,,,,,,,,
168,simple_2filters_save_at_48.keras,,,,,,,,
169,simple_2filters_save_at_49.keras,,,,,,,,
170,simple_2filters_save_at_5.keras,,,,,,,,
171,simple_2filters_save_at_50.keras,,,,,,,,
172,simple_2filters_save_at_51.keras,,,,,,,,
173,simple_2filters_save_at_52.keras,,,,,,,,
174,simple_2filters_save_at_53.keras,,,,,,,,
175,simple_2filters_save_at_54.keras,,,,,,,,
176,simple_2filters_save_at_55.keras,,,,,,,,
177,simple_2filters_save_at_56.keras,,,,,,,,
178,simple_2filters_save_at_57.keras,,,,,,,,
179,simple_2filters_save_at_58.keras,,,,,,,,
180,simple_2filters_save_at_59.keras,,,,,,,,
181,simple_2filters_save_at_6.keras,,,,,,,,
182,simple_2filters_save_at_60.keras,,,,,,,,
183,simple_2filters_save_at_61.keras,,,,,,,,
184,simple_2filters_save_at_62.keras,,,,,,,,
185,simple_2filters_save_at_63.keras,,,,,,,,
186,simple_2filters_save_at_64.keras,,,,,,,,
187,simple_2filters_save_at_65.keras,,,,,,,,
188,simple_2filters_save_at_66.keras,,,,,,,,
189,simple_2filters_save_at_67.keras,,,,,,,,
190,simple_2filters_save_at_68.keras,,,,,,,,
191,simple_2filters_save_at_69.keras,,,,,,,,
192,simple_2filters_save_at_7.keras,,,,,,,,
193,simple_2filters_save_at_70.keras,,,,,,,,
194,simple_2filters_save_at_71.keras,,,,,,,,
195,simple_2filters_save_at_72.keras,,,,,,,,
196,simple_2filters_save_at_73.keras,,,,,,,,
197,simple_2filters_save_at_74.keras,,,,,,,,
198,simple_2filters_save_at_75.keras,,,,,,,,
199,simple_2filters_save_at_76.keras,,,,,,,,
200,simple_2filters_save_at_77.keras,,,,,,,,
201,simple_2filters_save_at_78.keras,,,,,,,,
202,simple_2filters_save_at_79.keras,,,,,,,,
203,simple_2filters_save_at_8.keras,,,,,,,,
204,simple_2filters_save_at_80.keras,,,,,,,,
205,simple_2filters_save_at_81.keras,,,,,,,,
206,simple_2filters_save_at_82.keras,,,,,,,,
207,simple_2filters_save_at_83.keras,,,,,,,,
208,simple_2filters_save_at_84.keras,,,,,,,,
209,simple_2filters_save_at_85.keras,,,,,,,,
210,simple_2filters_save_at_86.keras,,,,,,,,
211,simple_2filters_save_at_87.keras,,,,,,,,
212,simple_2filters_save_at_88.keras,,,,,,,,
213,simple_2filters_save_at_89.keras,,,,,,,,
214,simple_2filters_save_at_9.keras,,,,,,,,
215,simple_2filters_save_at_90.keras,,,,,,,,
216,simple_2filters_save_at_91.keras,,,,,,,,
217,simple_2filters_save_at_92.keras,,,,,,,,
218,simple_2filters_save_at_93.keras,,,,,,,,
219,simple_2filters_save_at_94.keras,,,,,,,,
220,simple_2filters_save_at_95.keras,,,,,,,,
221,simple_2filters_save_at_96.keras,,,,,,,,
222,simple_2filters_save_at_97.keras,,,,,,,,
223,simple_2filters_save_at_98.keras,,,,,,,,
224,simple_2filters_save_at_99.keras,,,,,,,,
